model,runtime
densenet_34_0.01_1e-2_1e-2_sgd,0.46655893325805664
densenet_34_0.01_1e-2_1e-2_Adam,0.47406935691833496
densenet_34_0.01_1e-4_1e-4_sgd,0.4518892765045166
densenet_34_0.01_1e-4_1e-4_Adam,0.4612395763397217
densenet_34_0.8_1e-3_1e-3_sgd,0.4369790554046631
densenet_34_0.8_1e-3_1e-3_Adam,0.46076059341430664
densenet_34_0.8_1e-2_1e-2_sgd,0.46801328659057617
densenet_34_0.8_1e-2_1e-2_Adam,0.45505404472351074
densenet_34_0.8_1e-4_1e-4_sgd,0.47350096702575684
densenet_34_0.8_1e-4_1e-4_Adam,0.4440176486968994
pre_act_resnet_10_0.1_1e-3_1e-3_sgd,0.4516117572784424
pre_act_resnet_10_0.1_1e-3_1e-3_Adam,0.4460632801055908
pre_act_resnet_10_0.1_1e-2_1e-2_sgd,0.4962785243988037
pre_act_resnet_10_0.1_1e-2_1e-2_Adam,0.46001625061035156
pre_act_resnet_10_0.1_1e-4_1e-4_sgd,0.47504425048828125
pre_act_resnet_10_0.1_1e-4_1e-4_Adam,0.4334676265716553
pre_act_resnet_10_0.01_1e-3_1e-3_sgd,0.46703433990478516
pre_act_resnet_10_0.01_1e-3_1e-3_Adam,0.4780721664428711
pre_act_resnet_10_0.01_1e-2_1e-2_sgd,0.464907169342041
pre_act_resnet_10_0.01_1e-2_1e-2_Adam,0.46408534049987793
pre_act_resnet_10_0.01_1e-4_1e-4_sgd,0.42998170852661133
pre_act_resnet_10_0.01_1e-4_1e-4_Adam,0.46105051040649414
pre_act_resnet_10_0.8_1e-3_1e-3_sgd,0.5074584484100342
pre_act_resnet_10_0.8_1e-3_1e-3_Adam,0.4535338878631592
pre_act_resnet_10_0.8_1e-2_1e-2_sgd,0.4524102210998535
pre_act_resnet_10_0.8_1e-2_1e-2_Adam,0.4450507164001465
pre_act_resnet_10_0.8_1e-4_1e-4_sgd,0.46564531326293945
pre_act_resnet_10_0.8_1e-4_1e-4_Adam,0.5170750617980957
pre_act_resnet_18_0.1_1e-3_1e-3_sgd,0.44115400314331055
pre_act_resnet_18_0.1_1e-3_1e-3_Adam,0.43466758728027344
